project,lakeID,initSample,sample1,sample2,sample3,sample4,sample5,sample6
PE&PAeutroph,PA,6/5/19,6/6/19,6/9/19,6/13/19,6/16/19,,
PE&PAeutroph,PE,6/5/19,6/6/19,6/9/19,6/13/19,6/16/19,,
3M,CR,6/10/19,6/14/19,6/19/19,6/24/19,6/29/19,7/4/19,7/9/19
PE&PAeutroph,PA,6/12/19,6/13/19,6/16/19,6/19/19,6/21/19,,
PE&PAeutroph,PE,6/12/19,6/13/19,6/16/19,6/19/19,6/21/19,,
3M,BA,6/13/19,6/16/19,6/21/19,6/26/19,7/1/19,7/7/19,7/12/19
mentees,MOandCR,6/13/19,6/16/19,6/21/19,6/26/19,7/1/19,7/7/19,
3M,MO,6/17/19,6/20/19,6/25/19,6/30/19,7/5/19,7/10/19,7/15/19
PE&PAeutroph,PA,6/19/19,6/20/19,6/23/19,6/26/19,6/29/19,,
PE&PAeutroph,PE,6/19/19,6/20/19,6/23/19,6/26/19,6/29/19,,
3M,PE,6/20/19,6/23/19,6/28/19,7/3/19,7/8/19,7/13/19,7/18/19
3M,PA,6/20/19,6/23/19,6/28/19,7/3/19,7/8/19,7/13/19,7/18/19
3M,HB,6/21/19,6/24/19,6/29/19,7/4/19,7/9/19,7/14/19,7/19/19